"year","date","colony","wca","latitude","longitude","type","behavior","species","count","notes"
2020,,6th_bridge,,,,uav,nesting,greg,240,""
2020,,6th_bridge,,,,uav,nesting,sneg,500,""
2020,,6th_bridge,,,,uav,nesting,whib,7000,""
2020,,aerie,,,,uav,nesting,greg,24,""
2020,,alley_north,,,,uav,nesting,gbhe,2,""
2020,,alley_north,,,,uav,nesting,greg,100,""
2020,,alley_north,,,,uav,nesting,rosp,20,""
2020,,alley_north,,,,uav,roosting,greg,40,""
2020,,canal_n,,,,uav,both,smhe,60,""
2020,,col99,,,,uav,nesting,greg,300,""
2020,,col99,,,,uav,nesting,whib,1200,""
2020,,cypress_city,,,,uav,nesting,gbhe,10,""
2020,,cypress_city,,,,uav,nesting,greg,150,""
2020,,cypress_city,,,,uav,nesting,rosp,56,""
2020,,cypress_city,,,,uav,nesting,wost,40,""
2020,,cypress_city,,,,uav,roosting,rosp,15,""
2020,,enlil,,,,uav,nesting,gbhe,7,""
2020,,enlil,,,,uav,nesting,greg,64,""
2020,,enlil,,,,uav,roosting,wost,55,""
2020,,forsetti,,,,uav,nesting,gbhe,1,""
2020,,forsetti,,,,uav,nesting,greg,75,""
2020,,ground_surveys_and_ground_truthed_colonies,,,,uav,nesting,bcnh,1783,""
2020,,ground_surveys_and_ground_truthed_colonies,,,,uav,nesting,gbhe,209,""
2020,,ground_surveys_and_ground_truthed_colonies,,,,uav,nesting,greg,205,""
2020,,ground_surveys_and_ground_truthed_colonies,,,,uav,nesting,lbhe,382,""
2020,,ground_surveys_and_ground_truthed_colonies,,,,uav,nesting,sneg,242,""
2020,,ground_surveys_and_ground_truthed_colonies,,,,uav,nesting,trhe,82,""
2020,,ground_surveys_and_ground_truthed_colonies,,,,uav,nesting,whib,71,""
2020,,ground_surveys_and_ground_truthed_colonies,,,,uav,nesting,ycnh,4,""
2020,,henry,,,,uav,nesting,greg,40,""
2020,,henry,,,,uav,nesting,rosp,20,""
2020,,hidden,,,,uav,nesting,greg,90,""
2020,,hidden,,,,uav,roosting,greg,30,""
2020,,horus,,,,uav,nesting,gbhe,43,""
2020,,horus,,,,uav,nesting,greg,223,""
2020,,horus,,,,uav,roosting,gbhe,4,""
2020,,horus,,,,uav,roosting,greg,68,""
2020,,jerrod,,,,uav,nesting,gbhe,5,""
2020,,jerrod,,,,uav,nesting,greg,200,""
2020,,jerrod,,,,uav,nesting,rosp,2,""
2020,,jetport_south,,,,uav,nesting,greg,100,""
2020,,jetport_south,,,,uav,nesting,rosp,10,""
2020,,jetport_south,,,,uav,nesting,wost,450,""
2020,,joule,,,,uav,nesting,greg,250,""
2020,,joule,,,,uav,roosting,greg,2,""
2020,,jupiter,,,,uav,nesting,greg,17,""
2020,,jupiter,,,,uav,roosting,greg,7,""
2020,,kidlow,,,,uav,roosting,greg,80,""
2020,,lox_73_tyr,,,,uav,nesting,greg,57,""
2020,,lox_99,,,,uav,nesting,greg,250,""
2020,,lox_99,,,,uav,nesting,rosp,2,""
2020,,lox_ramp_011,,,,uav,both,smhe,60,""
2020,,lox_ramp_011,,,,uav,nesting,greg,60,""
2020,,lox_ramp_011,,,,uav,nesting,rosp,4,""
2020,,lox_ramp_011,,,,uav,roosting,greg,5,""
2020,,lox_west,,,,uav,nesting,greg,80,""
2020,,lox_west,,,,uav,nesting,rosp,15,""
2020,,nanse,,,,uav,nesting,greg,215,""
2020,,nanse,,,,uav,nesting,rosp,4,""
2020,,new_colony_2,,,,uav,nesting,greg,20,""
2020,,new_colony_4,,,,uav,nesting,whib,3500,""
2020,,new_colony_4,,,,uav,nesting,wost,50,""
2020,,rhea,,,,uav,nesting,greg,270,""
2020,,rhea,,,,uav,nesting,greg,325,""
2020,,rhea,,,,uav,nesting,rosp,3,""
2020,,rhea,,,,uav,nesting,rosp,60,""
2020,,rhea,,,,uav,nesting,whib,500,""
2020,,rhea,,,,uav,roosting,smwt,60,""
2020,,start_mel,,,,uav,nesting,greg,125,""
2020,,tamiami_west,,,,uav,nesting,greg,300,""
2020,,tamiami_west,,,,uav,nesting,whib,470,""
2020,,tamiami_west,,,,uav,nesting,wost,80,""
2020,,tyger,,,,uav,nesting,greg,20,""
2020,,tyger,,,,uav,roosting,smwt,10,""
2020,,vacation,,,,uav,nesting,gbhe,1,""
2020,,vacation,,,,uav,nesting,greg,60,""
2020,,venus,,,,uav,nesting,greg,7,""
2020,,vulture,,,,uav,nesting,gbhe,50,""
2020,,vulture,,,,uav,nesting,greg,190,""
2020,,vulture,,,,uav,nesting,rosp,5,""
2020,,vulture,,,,uav,nesting,sneg,16,""
2020,,vulture,,,,uav,nesting,whib,57,""
2020,,yonteau,,,,uav,nesting,greg,44,""
2021,2021-03-04,cypress_city,3,26.1241,-80.5044,uav,both,anhi,1,"presence"
2021,2021-03-04,cypress_city,3,26.1241,-80.5044,uav,both,gbhe,24,""
2021,2021-03-04,cypress_city,3,26.1241,-80.5044,uav,both,greg,120,""
2021,2021-03-04,cypress_city,3,26.1241,-80.5044,uav,both,rosp,19,""
2021,2021-03-10,jerrod,3,26.0001166666667,-80.5951333333333,uav,both,anhi,1,"presence"
2021,2021-03-10,jerrod,3,26.0001166666667,-80.5951333333333,uav,both,gbhe,14,""
2021,2021-03-10,jerrod,3,26.0001166666667,-80.5951333333333,uav,both,greg,144,""
2021,2021-03-11,6th_bridge,3,26.1242833333333,-80.5414833333333,uav,both,anhi,1,"presence"
2021,2021-03-11,6th_bridge,3,26.1242833333333,-80.5414833333333,uav,both,gbhe,20,""
2021,2021-03-11,6th_bridge,3,26.1242833333333,-80.5414833333333,uav,both,greg,870,""
2021,2021-03-11,6th_bridge,3,26.1242833333333,-80.5414833333333,uav,both,rosp,248,""
2021,2021-03-11,cypress_city,3,26.1241,-80.5044,uav,both,anhi,1,"presence"
2021,2021-03-11,cypress_city,3,26.1241,-80.5044,uav,both,gbhe,13,""
2021,2021-03-11,cypress_city,3,26.1241,-80.5044,uav,both,greg,77,""
2021,2021-03-11,cypress_city,3,26.1241,-80.5044,uav,both,rosp,13,""
2021,2021-03-12,forsetti,3,25.88681,-80.70217,uav,both,gbhe,5,""
2021,2021-03-12,forsetti,3,25.88681,-80.70217,uav,both,greg,116,""
2021,2021-03-12,joule,3,26.0123,-80.6323333333333,uav,both,gbhe,2,""
2021,2021-03-12,joule,3,26.0123,-80.6323333333333,uav,both,greg,114,""
2021,2021-03-14,rhea,2,26.23782,-80.3128,uav,both,anhi,1,"presence"
2021,2021-03-14,rhea,2,26.23782,-80.3128,uav,both,gbhe,21,""
2021,2021-03-14,rhea,2,26.23782,-80.3128,uav,both,greg,496,""
2021,2021-03-14,rhea,2,26.23782,-80.3128,uav,both,lbhe,18,""
2021,2021-03-14,rhea,2,26.23782,-80.3128,uav,both,rosp,1,""
2021,2021-03-14,rhea,2,26.23782,-80.3128,uav,both,sneg,180,""
2021,2021-03-14,rhea,2,26.23782,-80.3128,uav,both,trhe,14,""
2021,2021-03-14,rhea,2,26.23782,-80.3128,uav,both,whib,29,""
2021,2021-03-19,diana,3,25.84727,-80.52347,uav,both,anhi,1,"presence"
2021,2021-03-19,diana,3,25.84727,-80.52347,uav,both,greg,184,""
2021,2021-03-19,ganga,3,25.92347,-80.51858,uav,both,greg,22,""
2021,2021-03-23,henry,3,25.81913,-80.83983,ground,both,greg,134,""
2021,2021-03-23,henry,3,25.81913,-80.83983,ground,both,rosp,6,""
2021,2021-03-25,nanse,3,26.10715,-80.4980166666667,uav,both,anhi,1,"presence"
2021,2021-03-25,nanse,3,26.10715,-80.4980166666667,uav,both,gbhe,20,""
2021,2021-03-25,nanse,3,26.10715,-80.4980166666667,uav,both,greg,340,""
2021,2021-03-25,nanse,3,26.10715,-80.4980166666667,uav,both,lbhe,6,""
2021,2021-03-25,nanse,3,26.10715,-80.4980166666667,uav,both,sneg,29,""
2021,2021-03-26,aerie,3,25.77158,-80.70872,uav,both,greg,35,""
2021,2021-03-26,enlil,3,25.87413,-80.65365,uav,both,anhi,1,"presence"
2021,2021-03-26,enlil,3,25.87413,-80.65365,uav,both,gbhe,5,""
2021,2021-03-26,enlil,3,25.87413,-80.65365,uav,both,greg,13,""
2021,2021-03-26,garl,3,25.953511,-80.653426,uav,both,greg,24,""
2021,2021-03-26,horus,3,25.9605166666667,-80.5720666666667,uav,both,anhi,35,""
2021,2021-03-26,horus,3,25.9605166666667,-80.5720666666667,uav,both,bcnh,4,""
2021,2021-03-26,horus,3,25.9605166666667,-80.5720666666667,uav,both,gbhe,67,""
2021,2021-03-26,horus,3,25.9605166666667,-80.5720666666667,uav,both,greg,434,""
2021,2021-03-26,horus,3,25.9605166666667,-80.5720666666667,uav,both,smwt,11,""
2021,2021-03-26,horus,3,25.9605166666667,-80.5720666666667,uav,both,trhe,1,""
2021,2021-03-26,little_d,3,25.7712,-80.69301,uav,both,anhi,1,"presence"
2021,2021-03-26,little_d,3,25.7712,-80.69301,uav,both,gbhe,1,""
2021,2021-03-26,little_d,3,25.7712,-80.69301,uav,both,greg,32,""
2021,2021-03-29,alley_north,3,26.2013166666667,-80.5287333333333,uav,both,anhi,1,"presence"
2021,2021-03-29,alley_north,3,26.2013166666667,-80.5287333333333,uav,both,bcnh,1,"presence"
2021,2021-03-29,alley_north,3,26.2013166666667,-80.5287333333333,uav,both,greg,1000,"estimated"
2021,2021-03-29,alley_north,3,26.2013166666667,-80.5287333333333,uav,both,lbhe,1,"presence"
2021,2021-03-29,alley_north,3,26.2013166666667,-80.5287333333333,uav,both,rosp,400,"estimated"
2021,2021-03-29,alley_north,3,26.2013166666667,-80.5287333333333,uav,both,sneg,1,"presence"
2021,2021-03-29,alley_north,3,26.2013166666667,-80.5287333333333,uav,both,trhe,1,"presence"
2021,2021-03-29,alley_north,3,26.2013166666667,-80.5287333333333,uav,both,whib,30000,"estimated"
2021,2021-03-31,start_mel,3,25.94812,-80.63816,uav,both,gbhe,1,""
2021,2021-03-31,start_mel,3,25.94812,-80.63816,uav,both,greg,83,""
2021,2021-03-31,vacation,3,25.91565,-80.6302166666667,uav,both,anhi,1,"presence"
2021,2021-03-31,vacation,3,25.91565,-80.6302166666667,uav,both,gbhe,7,""
2021,2021-03-31,vacation,3,25.91565,-80.6302166666667,uav,both,greg,37,""
2021,2021-04-09,hidden,3,25.7735333333333,-80.8372166666667,uav,both,greg,256,"estimated"
2021,2021-04-09,hidden,3,25.7735333333333,-80.8372166666667,uav,both,rosp,10,"estimated"
2021,2021-04-09,hidden,3,25.7735333333333,-80.8372166666667,uav,both,sneg,90,"estimated"
2021,2021-04-09,hidden,3,25.7735333333333,-80.8372166666667,uav,both,trhe,1,"presence"
2021,2021-04-09,hidden,3,25.7735333333333,-80.8372166666667,uav,both,whib,6000,"estimated"
2021,2021-04-22,kinich,3,26.0425,-80.50308,uav,both,anhi,1,"presence"
2021,2021-04-22,kinich,3,26.0425,-80.50308,uav,both,gbhe,19,""
2021,2021-04-22,kinich,3,26.0425,-80.50308,uav,both,greg,54,""
2021,2021-04-22,vulture,3,26.02765,-80.54106,uav,both,anhi,1,"presence"
2021,2021-04-22,vulture,3,26.02765,-80.54106,uav,both,gbhe,32,""
2021,2021-04-22,vulture,3,26.02765,-80.54106,uav,both,greg,205,""
2021,2021-04-28,big_mel,3,26.04602,-80.62586,uav,both,anhi,1,"presence"
2021,2021-04-28,big_mel,3,26.04602,-80.62586,uav,both,gbhe,4,""
2021,2021-04-28,big_mel,3,26.04602,-80.62586,uav,both,greg,35,""
2021,2021-04-28,jupiter,3,26.0155666666667,-80.5627166666667,uav,both,anhi,1,"presence"
2021,2021-04-28,jupiter,3,26.0155666666667,-80.5627166666667,uav,both,gbhe,13,""
2021,2021-04-28,jupiter,3,26.0155666666667,-80.5627166666667,uav,both,greg,180,""
2021,2021-04-28,kidlow,3,26.04123,-80.59968,uav,both,anhi,1,"presence"
2021,2021-04-28,kidlow,3,26.04123,-80.59968,uav,both,gbhe,19,""
2021,2021-04-28,kidlow,3,26.04123,-80.59968,uav,both,greg,99,""
2021,2021-04-29,shamash,2,26.244117,-80.433167,uav,both,gbhe,9,""
2021,2021-04-29,shamash,2,26.244117,-80.433167,uav,both,greg,178,""
2021,2021-04-29,shamash,2,26.244117,-80.433167,uav,both,rosp,2,""
