year,region,species,count
1890,all,bcnh,
1890,all,caeg,
1890,all,gbhe,
1890,all,glib,
1890,all,greg,5000
1890,all,lbhe,3000
1890,all,rosp,
1890,all,sneg,10000
1931,all,bcnh,
1931,all,caeg,
1931,all,gbhe,
1931,all,glib,
1931,all,greg,
1931,all,lbhe,
1931,all,rosp,
1931,all,sneg,
1932,all,bcnh,
1932,all,caeg,
1932,all,gbhe,
1932,all,glib,
1932,all,greg,
1932,all,lbhe,
1932,all,rosp,
1932,all,sneg,
1933,all,bcnh,
1933,all,caeg,
1933,all,gbhe,
1933,all,glib,
1933,all,greg,
1933,all,lbhe,
1933,all,rosp,
1933,all,sneg,
1934,all,bcnh,
1934,all,caeg,
1934,all,gbhe,
1934,all,glib,
1934,all,greg,4000
1934,all,lbhe,2500
1934,all,rosp,
1934,all,sneg,10000
1935,all,bcnh,
1935,all,caeg,
1935,all,gbhe,
1935,all,glib,
1935,all,greg,
1935,all,lbhe,
1935,all,rosp,
1935,all,sneg,
1936,all,bcnh,
1936,all,caeg,
1936,all,gbhe,
1936,all,glib,
1936,all,greg,
1936,all,lbhe,
1936,all,rosp,
1936,all,sneg,
1937,all,bcnh,
1937,all,caeg,
1937,all,gbhe,
1937,all,glib,
1937,all,greg,
1937,all,lbhe,
1937,all,rosp,
1937,all,sneg,
1938,all,bcnh,
1938,all,caeg,
1938,all,gbhe,
1938,all,glib,
1938,all,greg,
1938,all,lbhe,
1938,all,rosp,
1938,all,sneg,
1939,all,bcnh,
1939,all,caeg,
1939,all,gbhe,
1939,all,glib,
1939,all,greg,
1939,all,lbhe,
1939,all,rosp,
1939,all,sneg,
1940,all,bcnh,
1940,all,caeg,
1940,all,gbhe,
1940,all,glib,
1940,all,greg,4000
1940,all,lbhe,2500
1940,all,rosp,
1940,all,sneg,10000
1941,all,bcnh,
1941,all,caeg,
1941,all,gbhe,
1941,all,glib,
1941,all,greg,
1941,all,lbhe,
1941,all,rosp,
1941,all,sneg,
1946,all,bcnh,
1946,all,caeg,
1946,all,gbhe,
1946,all,glib,
1946,all,greg,
1946,all,lbhe,
1946,all,rosp,
1946,all,sneg,
1971,enp,greg,
1971,enp,sneg,
1971,wcas,gbhe,12
1971,wcas,glib,27
1971,wcas,greg,25
1971,wcas,lbhe,15
1971,wcas,sneg,
1972,enp,greg,
1972,enp,sneg,
1972,wcas,gbhe,
1972,wcas,glib,
1972,wcas,greg,
1972,wcas,lbhe,
1972,wcas,sneg,
1973,enp,greg,
1973,enp,sneg,
1973,wcas,gbhe,
1973,wcas,glib,600
1973,wcas,greg,
1973,wcas,lbhe,
1973,wcas,sneg,
1974,enp,greg,775
1974,enp,sneg,
1974,wcas,gbhe,
1974,wcas,glib,
1974,wcas,greg,
1974,wcas,lbhe,
1974,wcas,sneg,
1975,all,bcnh,
1975,all,caeg,
1975,all,gbhe,
1975,all,glib,
1975,all,greg,3250
1975,all,lbhe,2000
1975,all,rosp,
1975,all,sneg,5200
1975,enp,greg,909
1975,enp,sneg,2162
1975,wcas,gbhe,36
1975,wcas,glib,
1975,wcas,greg,1990
1975,wcas,lbhe,72
1975,wcas,sneg,2312
1976,enp,greg,275
1976,enp,sneg,
1976,wcas,gbhe,
1976,wcas,glib,
1976,wcas,greg,600
1976,wcas,lbhe,
1976,wcas,sneg,
1977,enp,greg,350
1977,enp,sneg,
1977,wcas,gbhe,
1977,wcas,glib,
1977,wcas,greg,1600
1977,wcas,lbhe,
1977,wcas,sneg,
1978,enp,greg,600
1978,enp,sneg,
1978,wcas,gbhe,
1978,wcas,glib,
1978,wcas,greg,1500
1978,wcas,lbhe,
1978,wcas,sneg,
1979,enp,greg,1125
1979,enp,sneg,
1979,wcas,gbhe,
1979,wcas,glib,
1979,wcas,greg,1050
1979,wcas,lbhe,
1979,wcas,sneg,
1980,enp,greg,500
1980,enp,sneg,
1980,wcas,gbhe,
1980,wcas,glib,
1980,wcas,greg,
1980,wcas,lbhe,
1980,wcas,sneg,
1981,enp,greg,475
1981,enp,sneg,
1981,wcas,gbhe,
1981,wcas,glib,
1981,wcas,greg,450
1981,wcas,lbhe,
1981,wcas,sneg,
1982,enp,greg,525
1982,enp,sneg,
1982,wcas,gbhe,
1982,wcas,glib,
1982,wcas,greg,400
1982,wcas,lbhe,
1982,wcas,sneg,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1971,enp,trhe,
1972,enp,trhe,
1973,enp,trhe,
1974,enp,trhe,
1975,enp,trhe,1583
1976,enp,trhe,1300
1977,enp,trhe,
1978,enp,trhe,1075
1979,enp,trhe,4125
1980,enp,trhe,1500
1981,enp,trhe,250
1982,enp,trhe,800
1971,wcas,trhe,
1972,wcas,trhe,
1973,wcas,trhe,
1974,wcas,trhe,
1975,wcas,trhe,1318
1976,wcas,trhe,2500
1977,wcas,trhe,5700
1978,wcas,trhe,
1979,wcas,trhe,
1980,wcas,trhe,
1981,wcas,trhe,
1982,wcas,trhe,
1890,all,tric,15000
1931,all,tric,
1932,all,tric,
1933,all,tric,
1934,all,tric,15000
1935,all,tric,
1936,all,tric,
1937,all,tric,
1938,all,tric,
1939,all,tric,
1940,all,tric,15000
1941,all,tric,
1946,all,tric,
1975,all,tric,3500
1890,all,unid,
1931,all,unid,
1932,all,unid,
1933,all,unid,
1934,all,unid,
1935,all,unid,
1936,all,unid,
1937,all,unid,
1938,all,unid,
1939,all,unid,
1940,all,unid,
1941,all,unid,
1946,all,unid,
1975,all,unid,
1890,all,whib,100000
1931,all,whib,
1932,all,whib,
1933,all,whib,
1934,all,whib,100000
1935,all,whib,
1936,all,whib,
1937,all,whib,
1938,all,whib,
1939,all,whib,
1940,all,whib,48000
1941,all,whib,
1946,all,whib,
1975,all,whib,12956
1971,enp,whib,475
1972,enp,whib,6000
1973,enp,whib,1100
1974,enp,whib,400
1975,enp,whib,923
1976,enp,whib,1000
1977,enp,whib,1150
1978,enp,whib,150
1979,enp,whib,100
1980,enp,whib,
1981,enp,whib,215
1982,enp,whib,188
1971,wcas,whib,125
1972,wcas,whib,17800
1973,wcas,whib,15500
1974,wcas,whib,8500
1975,wcas,whib,11001
1976,wcas,whib,14500
1977,wcas,whib,8000
1978,wcas,whib,300
1979,wcas,whib,
1980,wcas,whib,
1981,wcas,whib,2000
1982,wcas,whib,6250
1890,all,wost,8000
1931,all,wost,
1932,all,wost,
1933,all,wost,
1934,all,wost,4000
1935,all,wost,
1936,all,wost,
1937,all,wost,672
1938,all,wost,
1939,all,wost,
1940,all,wost,4000
1941,all,wost,
1946,all,wost,
1975,all,wost,1330
1971,enp,wost,458
1972,enp,wost,333
1973,enp,wost,888
1974,enp,wost,950
1975,enp,wost,1335
1976,enp,wost,1310
1977,enp,wost,715
1978,enp,wost,19
1979,enp,wost,1350
1980,enp,wost,81
1981,enp,wost,381
1982,enp,wost,670