year,storks,ibis,egrets,ratio
1935,,,,36
1975,1330,12956,3250,4.395692308
1986,276,2785,1989,1.538964304
1987,100,4130,2005,2.109725686
1988,220,10882,3425,3.241459854
1989,510,1635,1851,1.158833063
1990,173,4950,913,5.611171961
1991,150,1600,1812,0.965783664
1992,567,16461,4497,3.78652435
1993,25,500,2736,0.191885965
1994,230,2249,3485,0.71133429
1995,113,3279,4526,0.749447636
1996,800,1825,4396,0.597133758
1997,344,3350,3496,1.056636156
1998,25,1408,4414,0.324648845
1999,535,10554,8216,1.349683544
2000,1847,22037,4709,5.071989807
2001,1861,17262,5154,3.71032208
2002,1461,32530,11067,3.071383392
2003,1550,12533,9025,1.560443213
2004,834,30459,9040,3.461615044
2005,273,17143,4256,4.092105263
2006,1314,25322,10126,2.630456251
2007,355,20761,5233,4.035161475
2008,145,7782,2308,3.43457539
2009,2602,43415,13211,3.483233669
2010,1000,9047,4627,2.171385347
2011,1727,13599,6971,2.198536795
2012,820,13022,7290,1.898765432
2013,2511,22226,8208,3.013767057
2014,1757,16335,5624,3.216927454
2015,648,25256,5069,5.110278161
2016,580,10545,5291,2.102627103
2017,2359,18123,6607,3.100045406
2018,3518,95728,14512,6.838891951
2019,970,21050,2778,7.926565875
2020,1245,22263,6128,3.83616188
2021,2640,64392,13099,5.117337201