"site","year","sample_id","real_nest","field_nest_id","species","lat","long"
"Joule",2021,1,"yes",159,"greg",26.0123126,-80.6307449
"Joule",2021,2,"yes",NA,"greg",26.0117358,-80.6310859
"Joule",2021,3,"yes",223,"greg",26.0120943,-80.6312566
"Joule",2021,4,"no",NA,"greg",26.0124972928923,-80.6316084426273
"Joule",2021,5,"no",NA,"greg",26.0122967106252,-80.6316897356947
"Joule",2021,6,"yes",237,"greg",26.0116147,-80.6307125
"Joule",2021,7,"yes",104,"greg",26.0120936,-80.6313753
"Joule",2021,8,"yes",NA,"greg",26.0118389,-80.6312183
"Joule",2021,9,"yes",NA,"greg",26.0118552,-80.6314176
"Joule",2021,10,"yes",219,"greg",26.0122733,-80.631082
"Joule",2021,11,"no",NA,"greg",26.0120986278352,-80.6316404637043
"Joule",2021,12,"yes",120,"greg",26.0117665,-80.6305733
"Joule",2021,13,"yes",102,"greg",26.0121057,-80.631309
"Joule",2021,14,"yes",152,"greg",26.0116869,-80.6306046
"Joule",2021,15,"no",NA,"greg",26.012204123408,-80.6316836856181
"Joule",2021,16,"yes",71,"greg",26.0120491,-80.6305118
"Joule",2021,17,"no",NA,"rosp",26.012241196845,-80.6318272606414
"Joule",2021,18,"no",NA,"greg",26.0124923584319,-80.6316673814047
"Joule",2021,19,"yes",161,"greg",26.0118004,-80.6312035
"Joule",2021,20,"no",NA,"greg",26.012832663926,-80.631592432672
"Joule",2021,21,"no",NA,"greg",26.012090643587,-80.6316500036878
"Joule",2021,22,"yes",96,"greg",26.0123706,-80.6307527
"Joule",2021,23,"no",NA,"greg",26.0127312321662,-80.6327153661803
"Joule",2021,24,"yes",NA,"greg",26.0119225,-80.6314688
"Joule",2021,25,"no",NA,"sneg",26.0130301380595,-80.6329277242866
"Joule",2021,26,"yes",100,"greg",26.01211,-80.6312433
"Joule",2021,27,"yes",108,"greg",26.0117449,-80.6311519
"Joule",2021,28,"no",NA,"greg",26.0125304460846,-80.6316426081664
"Joule",2021,29,"no",NA,"greg",26.0125045046951,-80.6317106898476
"Joule",2021,30,"yes",77,"greg",26.0116426,-80.6309507
"Joule",2021,31,"no",NA,"greg",26.0125043453626,-80.6316681765768
"Joule",2021,32,"no",NA,"greg",26.0123052278569,-80.6316201985533
"Joule",2021,33,"no",NA,"greg",26.0129503716815,-80.6315667291062
"Joule",2021,34,"no",NA,"greg",26.0126081572162,-80.6315695463784
"Joule",2021,35,"no",NA,"greg",26.0133889385396,-80.6321933178047
"Joule",2021,36,"no",NA,"greg",26.012310699086,-80.6315940961501
"Jerrod",2021,1,"yes",192,"greg",26.0036481,-80.5966237
"Jerrod",2021,2,"no",NA,"greg",26.0033441474172,-80.5968828625124
"Jerrod",2021,3,"no",NA,"gbhe",26.0035779624501,-80.5970024291144
"Jerrod",2021,4,"no",NA,"rosp",26.0051798425685,-80.5968023970605
"Jerrod",2021,5,"yes",167,"greg",26.003373,-80.596778
"Jerrod",2021,6,"no",NA,"greg",26.0031904555734,-80.5969091390498
"Jerrod",2021,7,"no",NA,"gbhe",26.0048292551203,-80.5968915678795
"Jerrod",2021,8,"yes",91,"greg",26.003329,-80.5967376
"Jerrod",2021,9,"no",NA,"greg",26.0025673776093,-80.5968779168304
"Jerrod",2021,10,"yes",181,"greg",26.0038501,-80.5966327
"Jerrod",2021,11,"yes",85,"greg",26.0034046,-80.5968563
"Jerrod",2021,12,"no",NA,"rosp",26.0037917280663,-80.59703668233
"Jerrod",2021,13,"no",NA,"greg",26.0025794494602,-80.5968675394026
"Jerrod",2021,14,"yes",186,"greg",26.0034135,-80.5966876
"Jerrod",2021,15,"no",NA,"greg",26.0025101168785,-80.5968737506071
"Jerrod",2021,16,"no",NA,"gbhe",26.00474730755,-80.5969316562384
"Jerrod",2021,17,"yes",175,"greg",26.0036284,-80.5965912
"Jerrod",2021,18,"yes",171,"greg",26.003413,-80.5966287
"Jerrod",2021,19,"yes",89,"greg",26.0033312,-80.5967414
"Jerrod",2021,20,"no",NA,"greg",26.0045020241385,-80.5969378027196
"Jerrod",2021,21,"no",NA,"greg",26.0043667080349,-80.5968790236244
"Jerrod",2021,22,"yes",184,"greg",26.0034043,-80.5966897
"Jerrod",2021,23,"no",NA,"rosp",26.0043492156121,-80.5975523154541
"Jerrod",2021,24,"no",NA,"gbhe",26.0045790458256,-80.5969368014862
"Jerrod",2021,25,"no",NA,"greg",26.0044655695236,-80.5976038065588
"Jerrod",2021,26,"yes",165,"greg",26.0033439,-80.5968827
"Jerrod",2021,27,"yes",183,"greg",26.0038891,-80.59671
"Jerrod",2021,28,"no",NA,"sneg",26.0044221085098,-80.5976979176777
"Jerrod",2021,29,"no",NA,"greg",26.0051855037464,-80.5967887802932
"Jerrod",2021,30,"no",NA,"rosp",26.0049337559109,-80.5969728055633
"Jerrod",2021,31,"yes",79,"greg",26.0036829,-80.5969929
"Jerrod",2021,32,"no",NA,"greg",26.0043708886264,-80.5968850536828
"Jerrod",2021,33,"yes",182,"greg",26.0033288,-80.596766
"Jerrod",2021,34,"yes",246,"greg",26.0035968,-80.5968819
"Jerrod",2021,35,"yes",500,"gbhe",26.0037347,-80.5966279
"Jerrod",2021,36,"yes",81,"greg",26.0036003,-80.5969241
"Jerrod",2021,37,"yes",194,"greg",26.0036607,-80.596635
"Jerrod",2021,38,"yes",180,"greg",26.0032702,-80.5968528
"Jerrod",2021,39,"yes",196,"greg",26.0037628,-80.5965816
"Jerrod",2021,40,"no",NA,"greg",26.0032872295794,-80.5968684795058
"Jerrod",2021,41,"no",NA,"greg",26.0033091261867,-80.5968699173589
"Jerrod",2021,42,"yes",87,"greg",26.003365,-80.5968129
"Jerrod",2021,43,"no",NA,"rosp",26.0036000235016,-80.596924331298
"Jerrod",2021,44,"yes",103,"greg",26.0039448,-80.5967794
"Jerrod",2021,45,"yes",185,"greg",26.0037907,-80.5970397
"Jerrod",2021,46,"yes",178,"greg",26.0033384,-80.596859
"Jerrod",2021,47,"no",NA,"gbhe",26.0040887020925,-80.5968616701733
"Jerrod",2021,48,"yes",176,"gbhe",26.0034595,-80.5969665
"Jerrod",2021,49,"no",NA,"greg",26.0044959062476,-80.5969528379739
"Jerrod",2021,50,"no",NA,"gbhe",26.0040594565716,-80.5969014756957
